-1 1 1.527863 (0.6034, 29.4619, -3.4013) (-0.0152, -0.1277, -0.0650, -0.9896) (0.2585, 29.9349, -4.0591) (0.2585, 29.9349, -4.0591) 25.46931 -1.348752 96.69279
-1 1 1.556859 (0.6021, 29.4626, -3.4068) (-0.0130, -0.1165, -0.0619, -0.9912) (0.2584, 29.9353, -4.0610) (0.2584, 29.9353, -4.0610) 23.25475 -1.142517 97.25179
-1 1 1.583785 (0.6010, 29.4621, -3.4145) (-0.0100, -0.1070, -0.0621, -0.9923) (0.2582, 29.9359, -4.0637) (0.2582, 29.9359, -4.0637) 21.36901 -0.6636563 97.6879
-1 1 1.619282 (0.6021, 29.4603, -3.4194) (-0.0265, -0.1313, -0.0727, -0.9883) (0.2576, 29.9363, -4.0660) (0.2576, 29.9363, -4.0660) 26.34397 -3.330024 96.41009
-1 1 1.650015 (0.6029, 29.4589, -3.4256) (-0.0255, -0.1546, -0.0849, -0.9840) (0.2566, 29.9366, -4.0676) (0.2566, 29.9366, -4.0676) 30.84894 -2.387814 95.09279
-1 1 1.688709 (0.6041, 29.4580, -3.4328) (-0.0174, -0.1730, -0.0839, -0.9812) (0.2555, 29.9368, -4.0688) (0.2555, 29.9368, -4.0688) 34.2333 -0.5193893 93.95496
-1 1 1.719921 (0.6054, 29.4563, -3.4416) (-0.0130, -0.1880, -0.0801, -0.9788) (0.2545, 29.9371, -4.0698) (0.2545, 29.9371, -4.0698) 35.21861 -0.4500698 92.89939
-1 1 1.74816 (0.6069, 29.4548, -3.4511) (-0.0158, -0.1955, -0.0900, -0.9764) (0.2539, 29.9372, -4.0711) (0.2539, 29.9372, -4.0711) 35.31436 -1.18636 92.30412
-1 1 1.772586 (0.6091, 29.4529, -3.4588) (-0.0118, -0.2002, -0.0905, -0.9755) (0.2539, 29.9372, -4.0727) (0.2539, 29.9372, -4.0727) 39.01444 1.199988 91.95573
-1 1 1.794379 (0.6123, 29.4511, -3.4673) (-0.0163, -0.2008, -0.0913, -0.9752) (0.2544, 29.9370, -4.0748) (0.2544, 29.9370, -4.0748) 36.7106 -0.6918666 91.8826
-1 1 1.817336 (0.6158, 29.4498, -3.4765) (-0.0134, -0.1991, -0.0961, -0.9752) (0.2553, 29.9368, -4.0774) (0.2553, 29.9368, -4.0774) 38.14188 0.6292359 92.03601
-1 1 1.842447 (0.6195, 29.4481, -3.4864) (-0.0030, -0.1897, -0.1017, -0.9766) (0.2567, 29.9365, -4.0809) (0.2567, 29.9365, -4.0809) 37.12069 3.263045 92.80286
