Fitts Law Experiment
Subject T: BcaD
FOV: 87.95473
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
8 1 41.93045 (0.9270, 29.3936, -4.9081) (-0.2152, -0.0835, 0.3536, 0.9065) (0.4200, 29.9399, -4.8193) (-0.0580, 0.0243, -0.0055, -0.9980) -29.56943 33.07555 89.34538
9 1 42.60812 (1.0301, 29.4063, -4.8876) (-0.1147, 0.1481, 0.3471, 0.9189) (0.4315, 29.9405, -4.8267) (-0.0538, -0.0011, 0.0064, -0.9985) 19.50519 31.81544 92.97729
10 1 43.5975 (0.9394, 29.3762, -4.9143) (-0.1075, -0.0866, 0.3717, 0.9181) (0.4224, 29.9397, -4.8261) (-0.0552, 0.0207, -0.0076, -0.9982) -23.56419 13.61627 96.19211
11 1 44.35257 (1.0050, 29.4496, -4.8871) (-0.2227, 0.1440, 0.3174, 0.9105) (0.4258, 29.9414, -4.8266) (-0.0459, 0.0027, -0.0025, -0.9989) 13.02879 49.50856 85.93758
12 1 45.09724 (0.9638, 29.3570, -4.9029) (-0.0286, -0.0099, 0.3882, 0.9211) (0.4270, 29.9397, -4.8253) (-0.0553, 0.0053, 0.0000, -0.9985) -3.792595 5.163017 99.81728
13 1 45.76364 (0.9529, 29.4768, -4.9043) (-0.2730, 0.0755, 0.3119, 0.9069) (0.4236, 29.9403, -4.8240) (-0.0527, 0.0093, -0.0046, -0.9986) -3.224715 54.54648 83.955
14 1 46.5415 (0.9961, 29.3629, -4.8739) (-0.0280, 0.0906, 0.3754, 0.9220) (0.4197, 29.9387, -4.8143) (-0.0630, 0.0015, -0.0045, -0.9980) 15.15075 12.30135 98.2017
15 1 47.20844 (0.9266, 29.4512, -4.8905) (-0.2753, -0.0240, 0.3243, 0.9047) (0.4162, 29.9404, -4.8140) (-0.0541, 0.0206, -0.0087, -0.9983) -22.0806 48.15096 84.7255
0 1 47.86366 (1.0105, 29.4235, -4.8516) (-0.1230, 0.1549, 0.3576, 0.9127) (0.4183, 29.9398, -4.8093) (-0.0587, 0.0068, -0.0045, -0.9982) 19.60289 33.16728 92.17491
1 1 48.49718 (0.8989, 29.4286, -4.9018) (-0.2093, -0.0917, 0.3254, 0.9175) (0.4182, 29.9397, -4.8125) (-0.0614, 0.0213, -0.0058, -0.9979) -30.18906 32.22776 89.55447
2 1 49.85295 (1.0042, 29.4782, -4.8761) (-0.2330, 0.1441, 0.3143, 0.9089) (0.4270, 29.9409, -4.8185) (-0.0531, 0.0053, -0.0013, -0.9986) 12.21674 51.56138 84.99328
3 1 50.5639 (0.9173, 29.3882, -4.9030) (-0.1157, -0.0862, 0.3576, 0.9227) (0.4224, 29.9386, -4.8138) (-0.0660, 0.0186, -0.0056, -0.9976) -23.90374 15.15786 95.83707
4 0 51.19753 (0.9537, 29.4859, -4.8874) (-0.2795, 0.0790, 0.3251, 0.9000) (0.4216, 29.9414, -4.8211) (-0.0464, 0.0193, -0.0066, -0.9987) -3.961937 55.43761 83.13227
5 0 51.96414 (0.9664, 29.3479, -4.8957) (-0.0365, -0.0060, 0.3887, 0.9206) (0.4245, 29.9385, -4.8180) (-0.0642, 0.0129, -0.0050, -0.9978) -3.931589 6.251824 99.72691
6 0 52.66409 (0.9205, 29.4589, -4.9042) (-0.2723, -0.0175, 0.3186, 0.9078) (0.4192, 29.9398, -4.8194) (-0.0570, 0.0235, -0.0095, -0.9980) -20.523 48.32831 85.10688
