-1 1 0.7027228 (0.4225, 29.8655, -3.9262) (-0.8621, -0.0746, 0.4043, 0.2962) (0.1704, 29.9602, -4.2535) (0.1704, 29.9602, -4.2535) -74.26376 45.00171 -49.77367
-1 1 0.7139633 (0.4228, 29.8658, -3.9270) (-0.8623, -0.0740, 0.4048, 0.2951) (0.1704, 29.9602, -4.2538) (0.1704, 29.9602, -4.2538) -74.25742 44.96311 -49.80776
-1 1 0.7248207 (0.4232, 29.8663, -3.9277) (-0.8635, -0.0712, 0.4043, 0.2928) (0.1704, 29.9603, -4.2541) (0.1704, 29.9603, -4.2541) -74.15044 44.92671 -50.15766
-1 1 0.7363093 (0.4232, 29.8666, -3.9280) (-0.8643, -0.0680, 0.4044, 0.2913) (0.1703, 29.9604, -4.2543) (0.1703, 29.9604, -4.2543) -74.04446 44.94665 -50.32976
-1 1 0.7470794 (0.4231, 29.8668, -3.9284) (-0.8638, -0.0673, 0.4046, 0.2926) (0.1703, 29.9604, -4.2545) (0.1703, 29.9604, -4.2545) -73.98945 45.06411 -50.14384
-1 1 0.7583438 (0.4229, 29.8669, -3.9288) (-0.8612, -0.0688, 0.4063, 0.2975) (0.1701, 29.9606, -4.2546) (0.1701, 29.9606, -4.2546) -74.06485 45.33849 -49.28596
-1 1 0.7693645 (0.4226, 29.8672, -3.9292) (-0.8587, -0.0695, 0.4075, 0.3028) (0.1699, 29.9607, -4.2548) (0.1699, 29.9607, -4.2548) -74.11227 45.45777 -48.4496
-1 1 0.7806078 (0.4223, 29.8675, -3.9296) (-0.8577, -0.0696, 0.4081, 0.3050) (0.1696, 29.9608, -4.2549) (0.1696, 29.9608, -4.2549) -74.11626 45.62123 -48.08483
-1 1 0.791651 (0.4218, 29.8681, -3.9295) (-0.8565, -0.0675, 0.4111, 0.3047) (0.1693, 29.9609, -4.2552) (0.1693, 29.9609, -4.2552) -74.1806 45.72321 -47.62612
-1 1 0.8029078 (0.4212, 29.8689, -3.9293) (-0.8551, -0.0627, 0.4144, 0.3052) (0.1689, 29.9611, -4.2555) (0.1689, 29.9611, -4.2555) -74.2392 45.87831 -47.02733
-1 1 0.814147 (0.4205, 29.8700, -3.9291) (-0.8544, -0.0576, 0.4152, 0.3070) (0.1687, 29.9613, -4.2558) (0.1687, 29.9613, -4.2558) -74.2268 46.11783 -46.67176
-1 1 0.8250594 (0.4197, 29.8705, -3.9290) (-0.8554, -0.0557, 0.4130, 0.3075) (0.1682, 29.9616, -4.2560) (0.1682, 29.9616, -4.2560) -74.16467 46.31544 -46.97314
-1 1 0.8364066 (0.4191, 29.8710, -3.9288) (-0.8558, -0.0600, 0.4128, 0.3061) (0.1677, 29.9621, -4.2562) (0.1677, 29.9621, -4.2562) -74.21801 46.32824 -47.18585
-1 1 0.8472691 (0.4183, 29.8718, -3.9290) (-0.8540, -0.0657, 0.4086, 0.3152) (0.1671, 29.9625, -4.2563) (0.1671, 29.9625, -4.2563) -74.10134 47.41624 -46.73207
-1 1 0.8588051 (0.4171, 29.8729, -3.9290) (-0.8531, -0.0647, 0.4048, 0.3228) (0.1665, 29.9631, -4.2564) (0.1665, 29.9631, -4.2564) -73.53048 49.04017 -46.38418
-1 1 0.8696256 (0.4157, 29.8738, -3.9288) (-0.8534, -0.0611, 0.4008, 0.3276) (0.1658, 29.9635, -4.2564) (0.1658, 29.9635, -4.2564) -72.51349 50.84819 -46.39864
-1 1 0.8808135 (0.4144, 29.8744, -3.9285) (-0.8535, -0.0572, 0.3986, 0.3308) (0.1651, 29.9639, -4.2565) (0.1651, 29.9639, -4.2565) -71.92238 51.73598 -46.34194
-1 1 0.891973 (0.4132, 29.8746, -3.9280) (-0.8538, -0.0534, 0.3975, 0.3318) (0.1643, 29.9642, -4.2566) (0.1643, 29.9642, -4.2566) -71.51176 52.28671 -46.36961
