0 1 1.378539 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 21.28819 32.56835 91.95298
0 1 1.39009 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 21.41911 32.83158 91.82317
0 1 1.401084 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 21.60993 33.06691 91.68832
0 1 1.412159 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 21.83076 33.13956 91.6295
0 1 1.423074 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 22.11569 33.19288 91.54948
0 1 1.434416 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 22.83066 33.79987 91.21197
0 1 1.445442 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 22.88108 33.79716 91.07096
0 1 1.456695 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 23.07878 33.91543 91.00308
0 1 1.46786 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 23.58718 34.34138 90.83015
0 1 1.478841 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 23.83739 34.62962 90.64982
0 1 1.49013 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 24.10035 34.85112 90.49585
0 1 1.501032 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 24.51509 35.01101 90.31907
0 1 1.512315 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 24.90737 35.07705 90.19122
0 1 1.523248 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.22411 35.08669 90.1096
0 1 1.534553 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.43694 35.11394 90.04899
0 1 1.545906 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.59439 35.25321 89.95092
0 1 1.556622 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.47743 35.25874 89.88107
0 1 1.56794 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.64766 35.32906 89.818
0 1 1.578877 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.85905 35.34589 89.76401
